,BERT_f1,BERT_precision,BERT_recall
1,0.578,0.536,0.628
2,0.554,0.496,0.627
3,0.548,0.481,0.627
4,0.548,0.486,0.625
5,0.542,0.473,0.626
6,0.555,0.494,0.627
7,0.548,0.485,0.626
8,0.548,0.486,0.626
