,BERT_f1,BERT_precision,BERT_recall
1,0.912,0.87,0.982
2,0.881,0.838,0.983
3,0.888,0.824,0.981
4,0.897,0.833,0.974
5,0.902,0.837,0.98
6,0.9,0.845,0.971
7,0.895,0.844,0.971
8,0.912,0.855,0.978
