,BERT_f1,BERT_precision,BERT_recall
1,0.632,0.596,0.677
2,0.604,0.552,0.676
3,0.598,0.549,0.673
4,0.6,0.547,0.672
5,0.592,0.537,0.672
6,0.603,0.551,0.673
7,0.597,0.543,0.671
8,0.598,0.546,0.671
