group_size,BERT_f1,BERT_precision,BERT_recall
1,0.662,0.617,0.714
2,0.639,0.581,0.713
3,0.634,0.573,0.711
4,0.635,0.576,0.71
5,0.629,0.567,0.711
6,0.637,0.58,0.71
7,0.633,0.572,0.71
8,0.634,0.574,0.709
