,BERT_f1,BERT_precision,BERT_recall
1,0.757,0.703,0.816
2,0.729,0.666,0.815
3,0.736,0.679,0.812
4,0.725,0.662,0.811
5,0.727,0.662,0.817
6,0.719,0.652,0.809
7,0.715,0.643,0.811
8,0.719,0.653,0.81
