,BERT_f1,BERT_precision,BERT_recall
1,0.652,0.627,0.687
2,0.633,0.591,0.687
3,0.627,0.587,0.685
4,0.628,0.583,0.683
5,0.62,0.576,0.683
6,0.628,0.586,0.683
7,0.621,0.575,0.682
8,0.624,0.581,0.682
