group_size,BERT_f1,BERT_precision,BERT_recall
1,0.93,0.896,0.989
2,0.905,0.854,0.992
3,0.914,0.864,0.98
4,0.916,0.871,0.982
5,0.927,0.879,0.979
6,0.927,0.89,0.978
7,0.92,0.924,0.982
8,0.951,0.959,0.978
