,BERT_f1,BERT_precision,BERT_recall
1,0.469,0.382,0.539
2,0.469,0.365,0.546
3,0.452,0.366,0.539
4,0.446,0.354,0.537
5,0.446,0.341,0.529
6,0.455,0.369,0.538
7,0.449,0.356,0.535
8,0.444,0.357,0.539
